Temperature (K),Luminosity (L/Lo),Radius (R/Ro),Absolute magnitude (Mv),Star type,Star category,Star color,Spectral Class
7031,205797.18480511566,481.1562343169661,-12.611466617989532,0,Red Dwarf,Red,M
8969,290044.04085810226,108.19152361866495,13.873625223505298,2,White Dwarf,White,B
28474,-346441.380792183,677.5893798825907,7.612963889544279,0,Hypergiant,Blue,O
14860,208285.27660186443,-246.34570834113987,14.433797794240444,2,Supergiant,Red,M
23092,271768.40161506226,444.1669031411214,21.331244336081568,4,Supergiant,Red,A
2915,348904.5063622192,-4.101977032997695,0.19602444511536898,3,Red Dwarf,Blue-white,M
22082,124236.14475920958,-164.303619062824,28.713866156399853,2,Brown Dwarf,Blue White,A
2767,490968.2040077901,-458.46702600270464,1.4974006496778616,2,Hypergiant,Yellowish,M
4693,206355.76178749098,1324.5282994176257,11.402796353548654,2,Supergiant,Red,M
12509,71632.06126309637,-184.80166748006064,4.625010323460635,0,Red Dwarf,Red,O
-5570,-299732.80830678274,556.7475047380747,2.1019389783999314,5,Supergiant,Red,M
17002,307355.2893739367,-153.54478861858598,15.85639427677635,2,Brown Dwarf,Blue,O
8067,195054.37669957348,1004.4794635902565,0.2758476204475304,3,Hypergiant,Blue White,M
-1960,288158.74065762915,989.5901192317733,-6.096482978307339,2,Main Sequence,Blue-white,M
6639,198938.9522807088,82.82776736676655,-6.079995234930701,4,Brown Dwarf,yellow-white,M
-9552,-220384.04684471586,-448.74862983390744,-14.139944811761666,2,Main Sequence,Blue white,M
21240,204748.11420498966,-39.246423613016134,6.9291588842447505,5,Hypergiant,Red,B
9364,192316.66083447,587.3162344705518,2.1533640405859846,3,Hypergiant,Red,O
17156,252895.08024835752,269.8599450836589,0.2580952935789256,3,Main Sequence,Red,M
1784,-201826.28181139744,-87.75141948141965,-4.974241250318439,3,Supergiant,Red,M
13078,416358.0154545092,69.55865577471258,-3.5320413648177356,3,Brown Dwarf,Blue,M
1741,-228173.6427814363,384.8070824701616,-3.0730742388010386,3,Supergiant,Red,M
11232,170911.29680548504,-117.1855943637226,19.259006959856663,1,Brown Dwarf,Red,M
-4777,140009.92737228918,504.3672049278177,-4.628728380504208,4,White Dwarf,Blue,M
1457,151403.72701848007,3.6602207391288175,1.7508404642204,4,Red Dwarf,Blue,B
-4938,478205.76843254594,225.56628135896426,3.2484134999321514,2,Brown Dwarf,Blue,M
10647,96390.02217112109,750.7536117304921,5.897907957514736,3,Main Sequence,Blue-white,A
1256,101655.02026655419,606.534311506821,19.987758123599193,1,White Dwarf,Blue,M
982,140756.01177610632,-455.0574567004927,13.01556217720461,4,Red Dwarf,Blue,M
4070,181527.31792045775,-193.5101566441267,16.537942263160062,3,Red Dwarf,Red,O
-1508,-13807.1123402589,-155.33846088451003,6.806070882231616,3,Red Dwarf,Blue-white,O
16942,117236.07089770536,734.6105085075759,-7.5923365910065606,0,Main Sequence,Red,B
4401,402247.0560724805,-674.7619089093414,21.907811397390986,5,Main Sequence,Blue,O
7816,5686.550551602253,273.01069431835856,3.4986699246686577,0,Hypergiant,Red,O
16838,-57364.523757594,52.14022340352122,17.057427796019127,1,Main Sequence,Red,G
17149,129043.20447197623,402.30111283100064,5.780726506636236,5,Main Sequence,Red,O
-7709,217644.97966575006,-249.76701019324497,-4.292552850826633,4,Supergiant,Red,B
-581,124861.97731961109,127.54728247402852,-10.696153416888071,3,White Dwarf,Blue White,M
11348,117931.79617539658,260.9947380240521,-3.8897356523890494,1,Main Sequence,White,M
-2951,425667.89260091877,561.6956305642088,7.925621721778522,4,Supergiant,Blue,A
16718,-31438.484633313812,1235.5984062611915,10.110333597744942,4,Supergiant,Red,M
8130,-109538.86453035419,18.10940523333906,12.097230664506128,5,Red Dwarf,Red,B
8583,396460.32010438875,398.18551579433597,-3.459038325898182,2,White Dwarf,Blue,B
6272,354326.7915214468,847.9042163842687,9.00365462954353,4,White Dwarf,yellowish,B
-2778,272078.70862885285,111.78897817846345,-2.2795836347668796,2,White Dwarf,Red,O
6238,-156834.9139706424,69.646834213207,4.128947486679469,1,Supergiant,Red,O
17345,26805.146289431374,333.79473841659944,0.9537084347919182,3,Supergiant,Red,M
-6536,-33004.49546713047,-70.48953448674382,4.77672610999338,0,Hypergiant,White,B
25029,14081.905383298523,-177.04551143838944,6.235593088647782,3,Red Dwarf,Blue,O
6711,601.7763377251104,120.57269575903202,8.713109086050615,1,Red Dwarf,yellowish,B
9703,-113325.69477854736,547.5155659256791,6.023659536363755,2,Red Dwarf,Red,B
476,-108870.37100487287,843.2199371465941,3.738357333709766,4,White Dwarf,Blue,M
18951,127518.79972333627,522.4899880987796,12.490917802418357,4,Red Dwarf,Blue-white,O
9465,259786.46069127013,-347.7998209633397,-7.644236741273007,2,Main Sequence,Red,M
8976,114169.81324508824,446.3663693081102,13.55130614982514,2,Supergiant,Blue White,B
-8302,-174633.25019420925,29.848311230917318,12.472125990189232,2,Brown Dwarf,Blue-white,M
7943,59438.92908252016,565.3479930998415,13.233188514515618,5,Supergiant,Red,O
4721,110623.35951532194,509.463404246051,9.672120412758225,4,Brown Dwarf,Red,M
12373,384420.22229386366,-253.66305455122563,0.5446252812312693,0,Brown Dwarf,Blue,F
13626,-105861.2965768656,477.58818945584875,-1.0913647266984263,2,Main Sequence,Blue-white,M
19015,175549.64843178203,487.059405032872,1.5113568448586299,0,White Dwarf,Red,F
1829,-58742.76634948526,-3.3036105077887896,10.77045692983586,1,Main Sequence,Red,M
15673,50921.24821070691,1043.2476073572775,8.42373317915785,5,Brown Dwarf,Red,O
14085,292031.53589580354,-281.5143282415589,10.490324813843294,1,White Dwarf,Blue,F
11585,-26666.878590670327,1310.7580262118463,1.4278388342584982,4,Red Dwarf,Red,M
-3894,98379.14093755229,181.15524146958353,20.959967833758018,0,Main Sequence,Blue-white,M
-1529,115273.44815084239,147.42869396902103,9.349417632560662,1,Brown Dwarf,white,M
16052,218785.98421098373,1395.4986738962466,18.966776254198265,4,Hypergiant,Blue,M
16833,276116.3215811944,572.7269598416826,2.92411163656556,5,Main Sequence,Blue,A
7925,276165.48672614095,-593.0124931466773,8.246785344716752,3,Hypergiant,Blue,M
13800,254884.8267217008,1132.466760654885,26.768437732610828,4,Brown Dwarf,Red,A
15493,-60810.93335827312,20.412333384833744,10.031301604553512,0,Red Dwarf,Blue,A
11462,131489.72326434535,54.32558006568658,-18.637760188120243,2,Hypergiant,Blue-white,F
15708,322106.3457826312,358.06421496897536,0.1775141558679696,2,Supergiant,Red,M
4749,176804.98363146576,764.1153050404815,1.8850269100872756,5,Supergiant,Red,M
7089,66311.47018351071,-52.20906346467319,-10.261142514392557,0,Main Sequence,Red,B
6387,33756.52210850353,-77.5480583758308,4.4979833782747844,1,Main Sequence,Red,M
19797,-98106.28602678605,333.48414785550835,1.194251769134075,0,White Dwarf,Red,M
14390,163771.29679779836,1223.1099959054775,22.384316639646887,5,Red Dwarf,White-Yellow,M
10403,28753.70614602587,337.3768900015386,16.3618222213291,1,Supergiant,Red,M
12760,-116014.80179782439,-1099.4159608015077,11.507527822547624,3,Red Dwarf,Blue,M
6624,267127.33126689016,-534.2818134025276,-0.3526208381166498,5,Red Dwarf,White-Yellow,O
16770,-129245.56589298116,1957.3444558330486,9.247337642195077,4,Main Sequence,Blue-white,M
-5819,112179.67003094858,1413.4250284707487,1.3066145724580016,3,White Dwarf,Red,B
6912,4058.4712831538345,230.6297880296881,8.68441243936369,5,Red Dwarf,yellowish,M
15283,149557.9529947898,-155.20670228327367,-2.0961134315511014,4,Brown Dwarf,Blue,M
16964,125709.13210835407,350.73364757131856,6.4909016256817385,4,Red Dwarf,White-Yellow,B
9778,155495.26124324035,229.26929115462912,6.305784026242236,1,Brown Dwarf,Blue,B
-1228,-59054.19243822599,-711.8026241604653,17.861796014005144,0,Red Dwarf,Red,A
17917,-233945.6202962095,-81.54571599548626,1.2269753671658394,0,Supergiant,Red,M
21245,110523.20467901362,103.46018875070556,-0.8985888562120365,4,Supergiant,Blue White,F
-124,-12509.863424117764,568.3682004066095,5.755480980699407,2,Brown Dwarf,Blue-white,M
14941,75892.9830993778,630.3057165898865,22.729058543684513,3,White Dwarf,Blue-white,G
-7880,189513.55115470046,-178.97352208243313,5.195733607054005,4,Main Sequence,Red,O
22287,329.5694544459984,367.40454635204935,8.50830422067557,3,Main Sequence,Yellowish,F
9739,91662.42108777983,370.8333459282064,-7.5656689699829425,5,Main Sequence,Red,O
1619,273667.37746853754,772.0109597218391,-14.420775495153514,2,Supergiant,Red,B
1835,-101911.18729300212,405.4269245430501,5.122256690777091,2,Main Sequence,White,M
2112,68623.03513970808,567.7606175623009,13.349605824009158,1,Red Dwarf,Red,M
4903,14781.474767485546,-76.1404229105263,-1.790124537343762,2,White Dwarf,Red,K
